Numero de Peticion,Resultado,Tiempo (s)
0,Respuesta no es JSON válida,0.1961054801940918
1,Respuesta no es JSON válida,0.21663999557495117
2,Respuesta no es JSON válida,0.21663999557495117
3,Respuesta no es JSON válida,0.23828339576721191
4,Respuesta no es JSON válida,0.27083778381347656
5,Respuesta no es JSON válida,0.23828339576721191
6,Respuesta no es JSON válida,0.2801065444946289
7,Respuesta no es JSON válida,0.2861156463623047
8,Respuesta no es JSON válida,0.21714401245117188
9,Respuesta no es JSON válida,0.2070446014404297
10,Respuesta no es JSON válida,0.2624318599700928
11,Respuesta no es JSON válida,0.2311077117919922
12,Respuesta no es JSON válida,0.27721571922302246
13,Respuesta no es JSON válida,0.2250049114227295
14,Respuesta no es JSON válida,0.3020474910736084
15,Respuesta no es JSON válida,0.28511619567871094
16,Respuesta no es JSON válida,0.28728628158569336
17,Respuesta no es JSON válida,0.28253173828125
18,Respuesta no es JSON válida,0.26749610900878906
19,Respuesta no es JSON válida,0.2674860954284668
20,Respuesta no es JSON válida,0.2410590648651123
21,Respuesta no es JSON válida,0.2899808883666992
22,Respuesta no es JSON válida,0.2795276641845703
23,Respuesta no es JSON válida,0.22588276863098145
24,Respuesta no es JSON válida,0.2706785202026367
25,Respuesta no es JSON válida,0.2550339698791504
26,Respuesta no es JSON válida,0.2901649475097656
27,Respuesta no es JSON válida,0.280597448348999
28,Respuesta no es JSON válida,0.2445216178894043
29,Respuesta no es JSON válida,0.23460054397583008
30,Respuesta no es JSON válida,0.22393202781677246
31,Respuesta no es JSON válida,0.2587563991546631
32,Respuesta no es JSON válida,0.21173810958862305
33,Respuesta no es JSON válida,0.2615664005279541
34,Respuesta no es JSON válida,0.2678394317626953
35,Respuesta no es JSON válida,0.2564353942871094
36,Respuesta no es JSON válida,0.28772807121276855
37,Respuesta no es JSON válida,0.22440361976623535
38,Respuesta no es JSON válida,0.31189990043640137
39,Respuesta no es JSON válida,0.2636101245880127
40,Respuesta no es JSON válida,0.2615177631378174
41,Respuesta no es JSON válida,0.25650644302368164
42,Respuesta no es JSON válida,0.2625296115875244
43,Respuesta no es JSON válida,0.2933199405670166
44,Respuesta no es JSON válida,0.2858467102050781
45,Respuesta no es JSON válida,0.22735309600830078
46,Respuesta no es JSON válida,0.23161935806274414
47,Respuesta no es JSON válida,0.2604990005493164
48,Respuesta no es JSON válida,0.26720380783081055
49,Respuesta no es JSON válida,0.23209547996520996
50,Respuesta no es JSON válida,0.27190589904785156
51,Respuesta no es JSON válida,0.2890799045562744
52,Respuesta no es JSON válida,0.2936820983886719
53,Respuesta no es JSON válida,0.25292277336120605
54,Respuesta no es JSON válida,0.307603120803833
55,Respuesta no es JSON válida,0.25356435775756836
56,Respuesta no es JSON válida,0.28668761253356934
57,Respuesta no es JSON válida,0.272214412689209
58,Respuesta no es JSON válida,0.23344182968139648
59,Respuesta no es JSON válida,0.2349231243133545
60,Respuesta no es JSON válida,0.23444104194641113
61,Respuesta no es JSON válida,0.26348280906677246
62,Respuesta no es JSON válida,1.215538501739502
63,Respuesta no es JSON válida,0.21567153930664062
64,Respuesta no es JSON válida,0.2581601142883301
65,Respuesta no es JSON válida,0.21599841117858887
66,Respuesta no es JSON válida,0.2792520523071289
67,Respuesta no es JSON válida,0.2705221176147461
68,Respuesta no es JSON válida,0.2251288890838623
69,Respuesta no es JSON válida,0.2576484680175781
70,Respuesta no es JSON válida,0.2282097339630127
71,Respuesta no es JSON válida,0.26746296882629395
72,Respuesta no es JSON válida,0.2178802490234375
73,Respuesta no es JSON válida,0.2491598129272461
74,Respuesta no es JSON válida,0.27642083168029785
75,Respuesta no es JSON válida,0.21379399299621582
76,Respuesta no es JSON válida,0.1972951889038086
77,Respuesta no es JSON válida,1.2189831733703613
78,Respuesta no es JSON válida,1.2068374156951904
79,Respuesta no es JSON válida,1.2189831733703613
80,Respuesta no es JSON válida,1.2476246356964111
81,Respuesta no es JSON válida,1.237626075744629
82,Respuesta no es JSON válida,1.26320219039917
83,Respuesta no es JSON válida,1.2621994018554688
84,Respuesta no es JSON válida,1.2320539951324463
85,Respuesta no es JSON válida,1.2055468559265137
86,Respuesta no es JSON válida,1.2475895881652832
87,Respuesta no es JSON válida,1.2527401447296143
88,Respuesta no es JSON válida,1.2517530918121338
89,Respuesta no es JSON válida,1.2658665180206299
90,Respuesta no es JSON válida,1.2357251644134521
91,Respuesta no es JSON válida,1.289309024810791
92,Respuesta no es JSON válida,1.2936763763427734
93,Respuesta no es JSON válida,1.2314119338989258
94,Respuesta no es JSON válida,1.2264018058776855
95,Respuesta no es JSON válida,1.251305341720581
96,Respuesta no es JSON válida,0.240095853805542
97,Respuesta no es JSON válida,0.2660515308380127
98,Respuesta no es JSON válida,0.2606163024902344
99,Respuesta no es JSON válida,0.2671964168548584
